Text,Location
Central Park Sunset Tours,"New York City, New York"
WindowsWear Fashion Window Walking Tour,"New York City, New York"
A Man and His Sandwich Tours,"New York City, New York"
Rachel,"New York City, New York"
Jim Dykes New York Tours,"New York City, New York"
Bike Rentals & Tours,"New York City, New York"
New York Sports Tours,"New York City, New York"
Pair Wine Tours,"New York City, New York"
Rayn Riel,"New York City, New York"
Masters of the Email,"New York City, New York"
I Sail NYC,"New York City, New York"
Central Park Bicycle Shop,"New York City, New York"
Alexander Hamilton Live,"New York City, New York"
East Village Ice Cream Crawl,"New York City, New York"
The Studio Museum in Harlem,"New York City, New York"
Miriam and Ira D. Wallach Art Gallery,"New York City, New York"
Nuyorican Poet's Cafe,"New York City, New York"
Dante Park,"New York City, New York"
One Chase Manhattan Plaza,"New York City, New York"
53rd Street Public Library,"New York City, New York"
26th Street Flea Market,"New York City, New York"
Church of St. Francis Xavier,"New York City, New York"
Poster House,"New York City, New York"
Cinema 123,"New York City, New York"
St. Luke's Place,"New York City, New York"
Peace Fountain - Friedensbrunnen,"New York City, New York"
St. Jean Baptiste Roman Catholic Church,"New York City, New York"
New York Society Library,"New York City, New York"
Soldiers' and Sailors Monument New York,"New York City, New York"
Institute for the Study of the Ancient World,"New York City, New York"
Theodore Roosevelt Park,"New York City, New York"
2120: An Art Experience at Portion Gallery,"New York City, New York"
Pier 34,"New York City, New York"
Ukrainian Museum,"New York City, New York"
The New York Mosque,"New York City, New York"
Life Underground,"New York City, New York"
Guardians Superhero Sculptures,"New York City, New York"
Ancient Playground,"New York City, New York"
Church of Our Lady of Guadalupe,"New York City, New York"
New Era Factory Outlet,"New York City, New York"
New York City Opera,"New York City, New York"
Throgs Neck Bridge,"New York City, New York"
National Park Service - Information Center on Liberty Island,"New York City, New York"
Fantasy Forest Amusement Park at the Flushing Meadows Carousel,"New York City, New York"
Astor Place,"New York City, New York"
America's Response Monument,"New York City, New York"
Citicorp Center,"New York City, New York"
Christ Church,"New York City, New York"
Wagner Cove,"New York City, New York"
Beresford,"New York City, New York"
Joker Stairs,"New York City, New York"
China Institute,"New York City, New York"
Larry's Freewheeling,"New York City, New York"
Giuseppe Garibaldi Statue,"New York City, New York"
Greater Zion Hill Baptist Church,"New York City, New York"
William Cullen Bryant Statue,"New York City, New York"
Grey Art Gallery NYU,"New York City, New York"
Canyon of Heroes,"New York City, New York"
Logos Bookstore,"New York City, New York"
Foxwoods Theater,"New York City, New York"
The Broken Kilometer,"New York City, New York"
Sperone Westwater,"New York City, New York"
Castle Williams,"New York City, New York"
Port Authority Bus Terminal,"New York City, New York"
Church of the Holy Trinity,"New York City, New York"
The Northern Dispensary,"New York City, New York"
I Heart Radio Theater,"New York City, New York"
The Chanin Building,"New York City, New York"
Ebenezer Gospel Tabernacle,"New York City, New York"
Skirball Center for the Performing Arts at NYU,"New York City, New York"
The Ansonia,"New York City, New York"
79th Street Boat Basin,"New York City, New York"
Ralph Bunche Park,"New York City, New York"
Inwood Hill Park,"New York City, New York"
Alexander Hamilton Statue,"New York City, New York"
Christopher Columbus Statue,"New York City, New York"
National Academy of Design Museum,"New York City, New York"
Italian American Museum,"New York City, New York"
De Witt Clinton Park,"New York City, New York"
National Archives at New York City,"New York City, New York"
Marcus Garvey Memorial Park,"New York City, New York"
Pier 54,"New York City, New York"
Bleecker Street Playground,"New York City, New York"
Second Stage Theater,"New York City, New York"
Dag-Hammarskjold Plaza Greenmarket,"New York City, New York"
The Renee and Chaim Gross Foundation,"New York City, New York"
Imagination Playground,"New York City, New York"
John Street United Methodist Church,"New York City, New York"
51-53 Christopher Street,"New York City, New York"
New York Theatre Experience,"New York City, New York"
Manhattan Theatre Club (MTC),"New York City, New York"
King Jagiello Monument,"New York City, New York"
General Worth Square,"New York City, New York"
Sniffen Court Historic District,"New York City, New York"
Statue of Lenin,"New York City, New York"
Globe Sculpture at Columbus Circle,"New York City, New York"
Rohrbachs Railroad Street Brewery,"New York City, New York"
La Mama E.T.C.,"New York City, New York"
Sheen Center,"New York City, New York"
Greater Central Baptist Church,"New York City, New York"
Broadway Roulette,"New York City, New York"
Ukrainian Institute of America,"New York City, New York"
Lasker Rink and Pool,"New York City, New York"
Dream House,"New York City, New York"
Wards Island Park,"New York City, New York"
Stiles Farmers Market,"New York City, New York"
Verdi Square,"New York City, New York"
Church of St. Michael,"New York City, New York"
The Sheffield's House (The Nanny),"New York City, New York"
Langston Hughes House,"New York City, New York"
Church of The Most Precious Blood,"New York City, New York"
Irish Arts Center,"New York City, New York"
CIMA - Center for Italian Modern Art,"New York City, New York"
Mint Theater Company,"New York City, New York"
Wall Street Court,"New York City, New York"
Museum of Reclaimed Urban Space (MoRUS),"New York City, New York"
Theater for the New City,"New York City, New York"
Saint Nicholas Russian Orthodox Cathedral,"New York City, New York"
Church of St Charles Borromeo,"New York City, New York"
The Lotus Garden,"New York City, New York"
Theatre 80 Saint Marks,"New York City, New York"
Hell's Kitchen & Clinton Dog Run,"New York City, New York"
Billy Johnson Playground,"New York City, New York"
Our Lady of Victory Church,"New York City, New York"
Block Beautiful,"New York City, New York"
Theatre At St. Clement's,"New York City, New York"
Roosevelt House,"New York City, New York"
The Bard Graduate Center,"New York City, New York"
The Pearl Theatre,"New York City, New York"
Firemen's Memorial,"New York City, New York"
Ralph Kramden Statue,"New York City, New York"
Audrey Hepburn Mural,"New York City, New York"
Heather Garden,"New York City, New York"
Brooklyn Municipal Building,"New York City, New York"
Fordham University,"New York City, New York"
Galeries Bartoux,"New York City, New York"
Silverstein Family Park,"New York City, New York"
Adam Baumgold Gallery,"New York City, New York"
Frantiques Gallery,"New York City, New York"
Church of the Intercession,"New York City, New York"
It's Showtime at the Apollo,"New York City, New York"
The Kitchen,"New York City, New York"
Aperture Foundation,"New York City, New York"
Manhattan Night Court,"New York City, New York"
"Firehouse, Engine Company 31","New York City, New York"
Tibet House US,"New York City, New York"
NYCruise,"New York City, New York"
Postmasters Gallery,"New York City, New York"
United House of Prayer for All People,"New York City, New York"
Judson Memorial Church,"New York City, New York"
Mother Teresa and Gandhi Mural,"New York City, New York"
Fusion Arts Museum,"New York City, New York"
Union Square Theatre,"New York City, New York"
Queen of Greene Street,"New York City, New York"
Yeshiva University Museum,"New York City, New York"
Church of the Covenant,"New York City, New York"
6th Avenue Shopping Court,"New York City, New York"
Obelisk,"New York City, New York"
Metro Pictures,"New York City, New York"
Sephora,"New York City, New York"
Swiss Institute,"New York City, New York"
Harlem Fire Watchtower,"New York City, New York"
St. Joseph's Church in Greenwich Village,"New York City, New York"
Evangelical Lutheran Church Of The Holy Trinity,"New York City, New York"
New Century Artists,"New York City, New York"
Peter Detmold Park,"New York City, New York"
Dia Chelsea,"New York City, New York"
Lumas New York - SoHo,"New York City, New York"
Harlem Repertory Theatre,"New York City, New York"
SuperReal,"New York City, New York"
St. George Ukrainian Catholic Church,"New York City, New York"
Immigrant Building,"New York City, New York"
The Ark of Return,"New York City, New York"
Corpus Christi Church,"New York City, New York"
